card1,card2,archetype,weight
Gloomlake Verge,"Kaito, Bane of Nightmares",Dimir Midrange,1
Gloomlake Verge,"Kaito, Bane of Nightmares",Self-Bounce,1
Gloomlake Verge,"Kaito, Bane of Nightmares",Faeries,0.925567101526665
Faerie Mastermind,"Kaito, Bane of Nightmares",Dimir Midrange,1
Faerie Mastermind,"Kaito, Bane of Nightmares",Faeries,0.925567101526665
"Kaito, Bane of Nightmares",Restless Reef,Dimir Midrange,0.9420550393513899
"Kaito, Bane of Nightmares",Restless Reef,Faeries,0.8377209018028862
"Kaito, Bane of Nightmares",Restless Reef,Self-Bounce,0.7623068023235469
"Kaito, Bane of Nightmares",Spyglass Siren,Dimir Midrange,1
"Kaito, Bane of Nightmares",Spyglass Siren,Self-Bounce,1
"Kaito, Bane of Nightmares",Spyglass Siren,Faeries,0.925567101526665
Fountainport,"Kaito, Bane of Nightmares",Dimir Midrange,0.7025096065001274
Fountainport,"Kaito, Bane of Nightmares",Self-Bounce,0.528833223536164
"Kaito, Bane of Nightmares",Preacher of the Schism,Dimir Midrange,0.950122761615903
"Kaito, Bane of Nightmares",Preacher of the Schism,Self-Bounce,0.8024528714789956
"Kaito, Bane of Nightmares",Preacher of the Schism,Faeries,0.67578466173597
"Kaito, Bane of Nightmares",Tishana's Tidebinder,Dimir Midrange,0.844013766501648
"Kaito, Bane of Nightmares",Tishana's Tidebinder,Faeries,0.8396920351126752
Island,"Kaito, Bane of Nightmares",Dimir Midrange,1
Island,"Kaito, Bane of Nightmares",Self-Bounce,0.9268389346841158
Island,"Kaito, Bane of Nightmares",Faeries,0.925567101526665
"Kaito, Bane of Nightmares",Underground River,Dimir Midrange,1
"Kaito, Bane of Nightmares",Underground River,Self-Bounce,0.9763274755877122
"Kaito, Bane of Nightmares",Underground River,Faeries,0.925567101526665
Duress,"Kaito, Bane of Nightmares",Dimir Midrange,0.8142067134763273
"Kaito, Bane of Nightmares",Phantom Interference,Dimir Midrange,0.8039079214029109
Cut Down,"Kaito, Bane of Nightmares",Dimir Midrange,1
Cut Down,"Kaito, Bane of Nightmares",Self-Bounce,0.7795645757958334
Cut Down,"Kaito, Bane of Nightmares",Faeries,0.6777376844223089
"Kaito, Bane of Nightmares",Swamp,Dimir Midrange,1
"Kaito, Bane of Nightmares",Swamp,Faeries,0.925567101526665
"Kaito, Bane of Nightmares",Swamp,Self-Bounce,0.7767506889427557
Darkslick Shores,"Kaito, Bane of Nightmares",Dimir Midrange,1
Darkslick Shores,"Kaito, Bane of Nightmares",Self-Bounce,1
Darkslick Shores,"Kaito, Bane of Nightmares",Faeries,0.925567101526665
Enduring Curiosity,"Kaito, Bane of Nightmares",Dimir Midrange,1
Enduring Curiosity,"Kaito, Bane of Nightmares",Self-Bounce,0.9415472765796206
Enduring Curiosity,"Kaito, Bane of Nightmares",Faeries,0.925567101526665
Anoint with Affliction,"Kaito, Bane of Nightmares",Faeries,0.8396920351126752
Anoint with Affliction,"Kaito, Bane of Nightmares",Self-Bounce,0.8396920351126752
Anoint with Affliction,"Kaito, Bane of Nightmares",Dimir Midrange,0.7898608325029978
Go for the Throat,"Kaito, Bane of Nightmares",Dimir Midrange,1
Go for the Throat,"Kaito, Bane of Nightmares",Self-Bounce,0.7369357165912799
Go for the Throat,"Kaito, Bane of Nightmares",Faeries,0.6777376844223089
Floodpits Drowner,"Kaito, Bane of Nightmares",Dimir Midrange,1
Floodpits Drowner,"Kaito, Bane of Nightmares",Self-Bounce,1
Floodpits Drowner,"Kaito, Bane of Nightmares",Faeries,0.925567101526665
Faerie Mastermind,Gloomlake Verge,Dimir Midrange,1
Faerie Mastermind,Gloomlake Verge,Faeries,1
Faerie Mastermind,Gloomlake Verge,Demons,1
Gloomlake Verge,Restless Reef,Dimir Midrange,1
Gloomlake Verge,Restless Reef,Dimir Control,1
Gloomlake Verge,Restless Reef,Demons,1
Gloomlake Verge,Restless Reef,Sultai Control,1
Gloomlake Verge,Restless Reef,Self-Bounce,0.9859523052393889
Gloomlake Verge,Restless Reef,Draws,0.9711749008703954
Gloomlake Verge,Restless Reef,Faeries,0.9691904202554383
Gloomlake Verge,Spyglass Siren,Dimir Midrange,1
Gloomlake Verge,Spyglass Siren,Faeries,1
Gloomlake Verge,Spyglass Siren,Self-Bounce,1
Fountainport,Gloomlake Verge,Demons,0.9711749008703954
Fountainport,Gloomlake Verge,Dimir Control,0.9711749008703954
Fountainport,Gloomlake Verge,Self-Bounce,0.9711749008703954
Fountainport,Gloomlake Verge,Dimir Midrange,0.8255215494525995
Gloomlake Verge,Preacher of the Schism,Dimir Midrange,1
Gloomlake Verge,Preacher of the Schism,Dimir Tempo,1
Gloomlake Verge,Preacher of the Schism,Faeries,0.8072675274936902
Gloomlake Verge,Preacher of the Schism,Self-Bounce,0.8072675274936902
Gloomlake Verge,Tishana's Tidebinder,Faeries,0.9711749008703954
Gloomlake Verge,Tishana's Tidebinder,Dimir Midrange,0.9107516437851033
Gloomlake Verge,Tishana's Tidebinder,Self-Bounce,0.36492585015945816
Gloomlake Verge,Island,Dimir Midrange,1
Gloomlake Verge,Island,Faeries,1
Gloomlake Verge,Island,Dimir Control,1
Gloomlake Verge,Island,Self-Bounce,1
Gloomlake Verge,Island,Artifacts,1
Gloomlake Verge,Island,Dimir Tempo,0.9711749008703954
Gloomlake Verge,Island,Draws,0.9711749008703954
Gloomlake Verge,Island,Sultai Tempo,0.9605438121020113
Gloomlake Verge,Island,Simic Tempo,0.9246629433487973
Gloomlake Verge,Island,4c Tempo,0.6927405969128703
Gloomlake Verge,Island,Esper Tempo,0.67578466173597
Gloomlake Verge,Island,Domain,0.528833223536164
Gloomlake Verge,Island,Sultai Midrange,0.36492585015945816
Gloomlake Verge,Underground River,Dimir Midrange,1
Gloomlake Verge,Underground River,Faeries,1
Gloomlake Verge,Underground River,Dimir Control,1
Gloomlake Verge,Underground River,Demons,1
Gloomlake Verge,Underground River,Self-Bounce,1
Gloomlake Verge,Underground River,Dimir Tempo,1
Gloomlake Verge,Underground River,Draws,1
Gloomlake Verge,Underground River,Artifacts,1
Gloomlake Verge,Underground River,Sultai Control,1
Gloomlake Verge,Underground River,Sultai Midrange,0.36492585015945816
Duress,Gloomlake Verge,Demons,1
Duress,Gloomlake Verge,Dimir Tempo,1
Duress,Gloomlake Verge,Sultai Control,1
Duress,Gloomlake Verge,Dimir Control,0.9711749008703954
Duress,Gloomlake Verge,Self-Bounce,0.9194900995116704
Duress,Gloomlake Verge,Dimir Midrange,0.9134289713939109
Duress,Gloomlake Verge,Esper Tempo,0.67578466173597
Gloomlake Verge,Phantom Interference,Dimir Control,1
Gloomlake Verge,Phantom Interference,Demons,0.9711749008703954
Gloomlake Verge,Phantom Interference,Dimir Midrange,0.9148290011240438
Cut Down,Gloomlake Verge,Dimir Midrange,1
Cut Down,Gloomlake Verge,Faeries,1
Cut Down,Gloomlake Verge,Dimir Control,1
Cut Down,Gloomlake Verge,Dimir Tempo,1
Cut Down,Gloomlake Verge,Draws,1
Cut Down,Gloomlake Verge,Sultai Control,1
Cut Down,Gloomlake Verge,Self-Bounce,0.9378308279685279
Cut Down,Gloomlake Verge,Demons,0.8072675274936902
Cut Down,Gloomlake Verge,Sultai Midrange,0.67578466173597
Cut Down,Gloomlake Verge,Esper Tempo,0.528833223536164
Gloomlake Verge,Swamp,Dimir Midrange,1
Gloomlake Verge,Swamp,Faeries,1
Gloomlake Verge,Swamp,Dimir Control,1
Gloomlake Verge,Swamp,Demons,1
Gloomlake Verge,Swamp,Self-Bounce,1
Gloomlake Verge,Swamp,Dimir Tempo,1
Gloomlake Verge,Swamp,Draws,1
Gloomlake Verge,Swamp,Artifacts,1
Gloomlake Verge,Swamp,Sultai Control,1
Gloomlake Verge,Swamp,Sultai Tempo,0.7100382975137401
Gloomlake Verge,Swamp,Domain,0.528833223536164
Gloomlake Verge,Swamp,Sultai Midrange,0.36492585015945816
Darkslick Shores,Gloomlake Verge,Dimir Midrange,1
Darkslick Shores,Gloomlake Verge,Faeries,1
Darkslick Shores,Gloomlake Verge,Dimir Control,1
Darkslick Shores,Gloomlake Verge,Demons,1
Darkslick Shores,Gloomlake Verge,Self-Bounce,1
Darkslick Shores,Gloomlake Verge,Dimir Tempo,1
Darkslick Shores,Gloomlake Verge,Draws,1
Darkslick Shores,Gloomlake Verge,Artifacts,1
Darkslick Shores,Gloomlake Verge,Sultai Control,1
Darkslick Shores,Gloomlake Verge,Esper Tempo,0.9711749008703954
Darkslick Shores,Gloomlake Verge,Sultai Midrange,0.528833223536164
Enduring Curiosity,Gloomlake Verge,Dimir Midrange,1
Enduring Curiosity,Gloomlake Verge,Faeries,1
Enduring Curiosity,Gloomlake Verge,Self-Bounce,1
Anoint with Affliction,Gloomlake Verge,Dimir Control,1
Anoint with Affliction,Gloomlake Verge,Demons,1
Anoint with Affliction,Gloomlake Verge,Faeries,0.9711749008703954
Anoint with Affliction,Gloomlake Verge,Sultai Control,0.9711749008703954
Anoint with Affliction,Gloomlake Verge,Dimir Midrange,0.8714338197198449
Anoint with Affliction,Gloomlake Verge,Grixis Control,0.67578466173597
Anoint with Affliction,Gloomlake Verge,Sultai Midrange,0.528833223536164
Gloomlake Verge,Go for the Throat,Dimir Midrange,1
Gloomlake Verge,Go for the Throat,Faeries,1
Gloomlake Verge,Go for the Throat,Dimir Control,1
Gloomlake Verge,Go for the Throat,Demons,1
Gloomlake Verge,Go for the Throat,Dimir Tempo,1
Gloomlake Verge,Go for the Throat,Draws,1
Gloomlake Verge,Go for the Throat,Sultai Control,1
Gloomlake Verge,Go for the Throat,Grixis Control,0.98664347331248
Gloomlake Verge,Go for the Throat,Self-Bounce,0.8745399747542956
Gloomlake Verge,Go for the Throat,Esper Tempo,0.8396920351126752
Gloomlake Verge,Go for the Throat,Sultai Midrange,0.8072675274936902
Floodpits Drowner,Gloomlake Verge,Dimir Midrange,1
Floodpits Drowner,Gloomlake Verge,Faeries,1
Floodpits Drowner,Gloomlake Verge,Self-Bounce,1
Faerie Mastermind,Restless Reef,Demons,1
Faerie Mastermind,Restless Reef,Faeries,0.9691904202554383
Faerie Mastermind,Restless Reef,Dimir Midrange,0.9586581499588328
Faerie Mastermind,Spyglass Siren,Dimir Midrange,1
Faerie Mastermind,Spyglass Siren,Faeries,1
Faerie Mastermind,Spyglass Siren,Convoke,0.9711749008703954
Faerie Mastermind,Spyglass Siren,Azorius Control,0.9711749008703954
Faerie Mastermind,Fountainport,Azorius Control,1
Faerie Mastermind,Fountainport,Demons,0.9711749008703954
Faerie Mastermind,Fountainport,Dimir Midrange,0.6866491348850426
Faerie Mastermind,Fountainport,Convoke,0.67578466173597
Faerie Mastermind,Preacher of the Schism,Dimir Midrange,0.9490068525995169
Faerie Mastermind,Preacher of the Schism,Faeries,0.8072675274936902
Faerie Mastermind,Tishana's Tidebinder,Faeries,0.9711749008703954
Faerie Mastermind,Tishana's Tidebinder,Dimir Midrange,0.8722810593153629
Faerie Mastermind,Tishana's Tidebinder,Convoke,0.67578466173597
Faerie Mastermind,Island,Dimir Midrange,1
Faerie Mastermind,Island,Faeries,1
Faerie Mastermind,Island,Azorius Control,1
Faerie Mastermind,Island,Convoke,0.9711749008703954
Faerie Mastermind,Island,Cauldron Combo,0.36492585015945816
Faerie Mastermind,Underground River,Dimir Midrange,1
Faerie Mastermind,Underground River,Faeries,1
Faerie Mastermind,Underground River,Demons,1
Duress,Faerie Mastermind,Demons,1
Duress,Faerie Mastermind,Dimir Midrange,0.8618416622278317
Faerie Mastermind,Phantom Interference,Demons,0.9711749008703954
Faerie Mastermind,Phantom Interference,Dimir Midrange,0.7833436709924625
Cut Down,Faerie Mastermind,Dimir Midrange,1
Cut Down,Faerie Mastermind,Faeries,1
Cut Down,Faerie Mastermind,Demons,0.8072675274936902
Cut Down,Faerie Mastermind,Cauldron Combo,0.67578466173597
Faerie Mastermind,Swamp,Dimir Midrange,1
Faerie Mastermind,Swamp,Faeries,1
Faerie Mastermind,Swamp,Demons,1
Faerie Mastermind,Swamp,Cauldron Combo,0.36492585015945816
Darkslick Shores,Faerie Mastermind,Dimir Midrange,1
Darkslick Shores,Faerie Mastermind,Faeries,1
Darkslick Shores,Faerie Mastermind,Demons,1
Darkslick Shores,Faerie Mastermind,Cauldron Combo,0.67578466173597
Enduring Curiosity,Faerie Mastermind,Dimir Midrange,1
Enduring Curiosity,Faerie Mastermind,Faeries,1
Enduring Curiosity,Faerie Mastermind,Azorius Control,0.9711749008703954
Enduring Curiosity,Faerie Mastermind,Convoke,0.8072675274936902
Anoint with Affliction,Faerie Mastermind,Demons,1
Anoint with Affliction,Faerie Mastermind,Faeries,0.9711749008703954
Anoint with Affliction,Faerie Mastermind,Dimir Midrange,0.805855506471984
Faerie Mastermind,Go for the Throat,Dimir Midrange,1
Faerie Mastermind,Go for the Throat,Faeries,1
Faerie Mastermind,Go for the Throat,Demons,1
Faerie Mastermind,Floodpits Drowner,Dimir Midrange,1
Faerie Mastermind,Floodpits Drowner,Faeries,1
Faerie Mastermind,Floodpits Drowner,Convoke,1
Faerie Mastermind,Floodpits Drowner,Azorius Control,0.528833223536164
Restless Reef,Spyglass Siren,Dimir Midrange,1
Restless Reef,Spyglass Siren,Self-Bounce,0.98041312858299
Restless Reef,Spyglass Siren,Faeries,0.9691904202554383
Fountainport,Restless Reef,Demons,0.9711749008703954
Fountainport,Restless Reef,Dimir Control,0.9711749008703954
Fountainport,Restless Reef,Self-Bounce,0.6927405969128703
Fountainport,Restless Reef,Dimir Midrange,0.5868455957956612
Preacher of the Schism,Restless Reef,Dimir Midrange,0.8185937168990819
Preacher of the Schism,Restless Reef,Self-Bounce,0.5366903585709124
Preacher of the Schism,Restless Reef,Faeries,0.528833223536164
Restless Reef,Tishana's Tidebinder,Faeries,0.6927405969128703
Restless Reef,Tishana's Tidebinder,Dimir Midrange,0.6811459861389733
Restless Reef,Tishana's Tidebinder,Self-Bounce,0.36492585015945816
Island,Restless Reef,Dimir Midrange,1
Island,Restless Reef,Dimir Control,1
Island,Restless Reef,Faeries,0.9691904202554383
Island,Restless Reef,Self-Bounce,0.8735063654678712
Island,Restless Reef,Draws,0.6927405969128703
Island,Restless Reef,Sultai Midrange,0.528833223536164
Restless Reef,Underground River,Dimir Midrange,1
Restless Reef,Underground River,Dimir Control,1
Restless Reef,Underground River,Demons,1
Restless Reef,Underground River,Sultai Control,1
Restless Reef,Underground River,Draws,0.9711749008703954
Restless Reef,Underground River,Faeries,0.9691904202554383
Restless Reef,Underground River,Self-Bounce,0.8674273833894331
Restless Reef,Underground River,Sultai Midrange,0.36492585015945816
Duress,Restless Reef,Demons,1
Duress,Restless Reef,Sultai Control,1
Duress,Restless Reef,Dimir Control,0.9711749008703954
Duress,Restless Reef,Dimir Midrange,0.6796654467963863
Phantom Interference,Restless Reef,Dimir Control,1
Phantom Interference,Restless Reef,Demons,0.9711749008703954
Phantom Interference,Restless Reef,Dimir Midrange,0.6760413632004548
Cut Down,Restless Reef,Dimir Control,1
Cut Down,Restless Reef,Sultai Control,1
Cut Down,Restless Reef,Draws,0.9711749008703954
Cut Down,Restless Reef,Dimir Midrange,0.9383077830031348
Cut Down,Restless Reef,Faeries,0.8377209018028862
Cut Down,Restless Reef,Demons,0.8072675274936902
Cut Down,Restless Reef,Self-Bounce,0.6809793929194068
Cut Down,Restless Reef,Sultai Midrange,0.67578466173597
Restless Reef,Swamp,Dimir Midrange,1
Restless Reef,Swamp,Dimir Control,1
Restless Reef,Swamp,Demons,1
Restless Reef,Swamp,Sultai Control,1
Restless Reef,Swamp,Draws,0.9711749008703954
Restless Reef,Swamp,Faeries,0.9691904202554383
Restless Reef,Swamp,Self-Bounce,0.8259130633658113
Restless Reef,Swamp,Sultai Midrange,0.8072675274936902
Darkslick Shores,Restless Reef,Dimir Midrange,1
Darkslick Shores,Restless Reef,Dimir Control,1
Darkslick Shores,Restless Reef,Demons,1
