card1,card2,archetype,weight
Restless Reef,Spell Stutter,Dimir Midrange,0.606134431576574
Sheoldred's Edict,Spell Stutter,Faeries,0.6460160066870647
Sheoldred's Edict,Spell Stutter,Dimir Midrange,0.44720047279582703
Gloomlake Verge,Spell Stutter,Faeries,0.9747176003295226
Gloomlake Verge,Spell Stutter,Dimir Midrange,0.7853312374445017
Enduring Curiosity,Spell Stutter,Faeries,0.9747176003295226
Enduring Curiosity,Spell Stutter,Dimir Midrange,0.755752572814845
Mockingbird,Spell Stutter,Faeries,0.8176000093904802
Mockingbird,Spell Stutter,Dimir Midrange,0.49741777577585256
Floodpits Drowner,Spell Stutter,Faeries,0.9747176003295226
Floodpits Drowner,Spell Stutter,Dimir Midrange,0.7702119469023659
Spell Stutter,Swamp,Faeries,0.9747176003295226
Spell Stutter,Swamp,Dimir Midrange,0.7626040286817748
Go for the Throat,Tishana's Tidebinder,Dimir Midrange,0.6271022330090062
"Kaito, Bane of Nightmares",Tishana's Tidebinder,Dimir Midrange,0.6699303358495
Soulstone Sanctuary,Tishana's Tidebinder,Merfolk,0.7771829163039172
Soulstone Sanctuary,Tishana's Tidebinder,Dimir Midrange,0.5919284257355122
Soulstone Sanctuary,Tishana's Tidebinder,Convoke,0.29203198744884235
Tishana's Tidebinder,Underground River,Dimir Midrange,0.7255853061881469
Tishana's Tidebinder,Underground River,Esper Control,0.29203198744884235
Spyglass Siren,Tishana's Tidebinder,Azorius Midrange,0.7771829163039172
Spyglass Siren,Tishana's Tidebinder,Dimir Midrange,0.7240701475450015
Spyglass Siren,Tishana's Tidebinder,Convoke,0.6821051527429267
Spyglass Siren,Tishana's Tidebinder,Self-Bounce,0.6460160066870647
Faerie Mastermind,Tishana's Tidebinder,Dimir Midrange,0.6908561548516416
Faerie Mastermind,Tishana's Tidebinder,Convoke,0.5407968160325296
Cut Down,Tishana's Tidebinder,Dimir Midrange,0.6547335732951777
Island,Tishana's Tidebinder,Merfolk,0.9827411098049946
Island,Tishana's Tidebinder,Azorius Midrange,0.8711286190048061
Island,Tishana's Tidebinder,Dimir Midrange,0.7216800965212723
Island,Tishana's Tidebinder,Azorius Control,0.6777232696167893
Island,Tishana's Tidebinder,Convoke,0.667722878737133
Island,Tishana's Tidebinder,Bant Control,0.5407968160325296
Island,Tishana's Tidebinder,Self-Bounce,0.42319889706569536
Island,Tishana's Tidebinder,Esper Control,0.42319889706569536
Darkslick Shores,Tishana's Tidebinder,Dimir Midrange,0.7266072832023219
Darkslick Shores,Tishana's Tidebinder,Self-Bounce,0.6460160066870647
Darkslick Shores,Tishana's Tidebinder,Esper Control,0.3532435394630876
Restless Reef,Tishana's Tidebinder,Dimir Midrange,0.5402277927659197
Restless Reef,Tishana's Tidebinder,Self-Bounce,0.29203198744884235
Sheoldred's Edict,Tishana's Tidebinder,Dimir Midrange,0.4065206273726052
Gloomlake Verge,Tishana's Tidebinder,Dimir Midrange,0.7266072832023219
Gloomlake Verge,Tishana's Tidebinder,Self-Bounce,0.29203198744884235
Enduring Curiosity,Tishana's Tidebinder,Dimir Midrange,0.6835245536304414
Enduring Curiosity,Tishana's Tidebinder,Azorius Midrange,0.671963725649382
Enduring Curiosity,Tishana's Tidebinder,Convoke,0.6010308237487064
Mockingbird,Tishana's Tidebinder,Merfolk,1
Mockingbird,Tishana's Tidebinder,Convoke,0.6821051527429267
Mockingbird,Tishana's Tidebinder,Dimir Midrange,0.4001856189506175
Floodpits Drowner,Tishana's Tidebinder,Merfolk,1
Floodpits Drowner,Tishana's Tidebinder,Azorius Midrange,0.7771829163039172
Floodpits Drowner,Tishana's Tidebinder,Dimir Midrange,0.717136234734021
Floodpits Drowner,Tishana's Tidebinder,Convoke,0.6821051527429267
Floodpits Drowner,Tishana's Tidebinder,Self-Bounce,0.5407968160325296
Swamp,Tishana's Tidebinder,Dimir Midrange,0.7072019399698782
Swamp,Tishana's Tidebinder,Esper Control,0.42319889706569536
Swamp,Tishana's Tidebinder,Self-Bounce,0.29203198744884235
Go for the Throat,"Kaito, Bane of Nightmares",Dimir Midrange,0.8320188618951134
Go for the Throat,"Kaito, Bane of Nightmares",Self-Bounce,0.587617722258136
Go for the Throat,"Kaito, Bane of Nightmares",Faeries,0.44328943627505224
Go for the Throat,Soulstone Sanctuary,Mono-Black Midrange,0.8369769319476722
Go for the Throat,Soulstone Sanctuary,Dimir Midrange,0.7535183142871249
Go for the Throat,Soulstone Sanctuary,Golgari Midrange,0.7443945126270275
Go for the Throat,Soulstone Sanctuary,Faeries,0.7357489573097102
Go for the Throat,Soulstone Sanctuary,Self-Bounce,0.4741559841596828
Go for the Throat,Underground River,Demons,1
Go for the Throat,Underground River,Draws,1
Go for the Throat,Underground River,Dimir Control,0.9382726488050325
Go for the Throat,Underground River,Dimir Midrange,0.898524103136966
Go for the Throat,Underground River,Dimir Tempo,0.8947808320300904
