card1,card2,archetype,weight
Force of Will,Undercity Sewers,Delver,0.6460160066870647
Force of Will,Undercity Sewers,Worldgorger Dragon Combo,0.6460160066870647
Force of Will,Undercity Sewers,Grixis Tempo,0.6460160066870647
Force of Will,Undercity Sewers,Grixis Control,0.6460160066870647
Force of Will,Undercity Sewers,Ninjas,0.6460160066870647
Force of Will,Undercity Sewers,Aluren,0.6460160066870647
Force of Will,Undercity Sewers,Omni-Tell,0.6460160066870647
Force of Will,Undercity Sewers,Esper Tempo,0.6460160066870647
Force of Will,Undercity Sewers,Beanstalk Control (Non-Yorion),0.6460160066870647
Force of Will,Undercity Sewers,Esper Control,0.6460160066870647
Force of Will,Undercity Sewers,Stoneblade,0.6460160066870647
Force of Will,Undercity Sewers,Beanstalk Control (Yorion),0.6401053201142084
Archon of Cruelty,Force of Will,Reanimator,0.6481940824159008
Archon of Cruelty,Force of Will,Sneak and Show,0.6460160066870647
Archon of Cruelty,Force of Will,Omni-Tell,0.6460160066870647
Archon of Cruelty,Force of Will,Beanstalk Control (Non-Yorion),0.6460160066870647
Force of Will,Polluted Delta,Dimir Tempo,1
Force of Will,Polluted Delta,Worldgorger Dragon Combo,1
Force of Will,Polluted Delta,Grixis Control,1
Force of Will,Polluted Delta,Ninjas,1
Force of Will,Polluted Delta,Vial,1
Force of Will,Polluted Delta,Aluren,1
Force of Will,Polluted Delta,Esper Tempo,1
Force of Will,Polluted Delta,Beanstalk Control (Yorion),1
Force of Will,Polluted Delta,Reanimator,0.9977682909087504
Force of Will,Polluted Delta,Esper Control,0.9922435945487755
Force of Will,Polluted Delta,Doomsday,0.968479572283609
Force of Will,Polluted Delta,Beanstalk Control (Non-Yorion),0.9311597041225679
Force of Will,Polluted Delta,Stoneblade,0.9275830409858606
Force of Will,Polluted Delta,Death's Shadow,0.8947808320300904
Force of Will,Polluted Delta,Blue Oracle Combo,0.8947808320300904
Force of Will,Polluted Delta,Grixis Tempo,0.8277626757985024
Force of Will,Polluted Delta,Delver,0.8216723746152484
Force of Will,Polluted Delta,Coveted Jewel Combo,0.7771829163039172
Force of Will,Polluted Delta,Mono-Blue Tempo,0.7771829163039172
Force of Will,Polluted Delta,High Tide,0.7771829163039172
Force of Will,Polluted Delta,Jeskai Tempo,0.7771829163039172
Force of Will,Polluted Delta,Azorius Control,0.7771829163039172
Force of Will,Polluted Delta,Omni-Tell,0.7549261758271569
Force of Will,Polluted Delta,Stiflenought,0.6978309657890549
Force of Will,Polluted Delta,Sneak and Show,0.6862775202616281
Force of Will,Island,Coveted Jewel Combo,0.99957426435092
Force of Will,Island,Mono-Blue Tempo,0.9975523217520779
Force of Will,Island,High Tide,0.9650719180025905
Force of Will,Island,Jeskai Control,0.9560819187183924
Force of Will,Island,Omni-Tell,0.950941054136422
Force of Will,Island,Blue Oracle Combo,0.9493333086962528
Force of Will,Island,Ninjas,0.9260460522571231
Force of Will,Island,Simulacrum Affinity,0.8947808320300904
Force of Will,Island,Azorius Control,0.8947808320300904
Force of Will,Island,Stoneblade,0.8882964957278752
Force of Will,Island,Stiflenought,0.8268441129164388
Force of Will,Island,Standstill,0.7771829163039172
Force of Will,Island,Grixis Control,0.7771829163039172
Force of Will,Island,Blue Artifacts,0.7771829163039172
Force of Will,Island,4c Control,0.7771829163039172
Force of Will,Island,Painter,0.7771829163039172
Force of Will,Island,Sneak and Show,0.7597455942201462
Force of Will,Island,8-Cast,0.7076384222352329
Force of Will,Island,Beanstalk Control (Non-Yorion),0.6958459552476374
