card1,card2,archetype,weight
"Karn, the Great Creator",Mox Opal,Painter,0.6480636068476425
"Karn, the Great Creator",Mystic Forge,Mystic Forge Combo,1
"Karn, the Great Creator",Urza's Tower,Mystic Forge Combo,1
"Karn, the Great Creator",Urza's Tower,Green Cloudpost,1
"Karn, the Great Creator",Urza's Tower,Painter,1
"Karn, the Great Creator",Lotus Petal,Mystic Forge Combo,1
"Karn, the Great Creator",Lotus Petal,Red Stompy,1
"Karn, the Great Creator",Lotus Petal,Eldrazi,1
"Karn, the Great Creator",Lotus Petal,Initiative,0.9711749008703954
"Karn, the Great Creator",Lotus Petal,Painter,0.7641285347767204
"Karn, the Great Creator",Manifold Key,Mystic Forge Combo,1
"Karn, the Great Creator",Manifold Key,Painter,1
Basalt Monolith,Kozilek's Command,Painter,0.9711749008703954
Basalt Monolith,Kozilek's Command,Mystic Forge Combo,0.862821242924165
Kozilek's Command,Pithing Needle,Painter,0.8072675274936902
Kozilek's Command,Pithing Needle,Mystic Forge Combo,0.8070228622756754
Kozilek's Command,Pithing Needle,Lands,0.7816287664324969
Kozilek's Command,Pithing Needle,Cloudpost,0.528833223536164
"Boseiju, Who Endures",Kozilek's Command,Mystic Forge Combo,1
"Boseiju, Who Endures",Kozilek's Command,Green Cloudpost,0.9651419060204933
"Boseiju, Who Endures",Kozilek's Command,Lands,0.9401202766893735
Glaring Fleshraker,Kozilek's Command,Mystic Forge Combo,1
Glaring Fleshraker,Kozilek's Command,Eldrazi,1
Kozilek's Command,The One Ring,Mystic Forge Combo,1
Kozilek's Command,The One Ring,Green Cloudpost,1
Kozilek's Command,The One Ring,Painter,1
Kozilek's Command,The One Ring,Eldrazi,0.9483321727916532
Kozilek's Command,The One Ring,Cloudpost,0.8396920351126752
Kozilek's Command,Planar Nexus,Mystic Forge Combo,1
Kozilek's Command,Planar Nexus,Green Cloudpost,1
Kozilek's Command,Planar Nexus,Painter,1
Kozilek's Command,Planar Nexus,Cloudpost,0.9711749008703954
Kozilek's Command,Vexing Bauble,Mystic Forge Combo,1
Kozilek's Command,Vexing Bauble,Eldrazi,0.9711749008703954
Ancient Tomb,Kozilek's Command,Mystic Forge Combo,1
Ancient Tomb,Kozilek's Command,Eldrazi,1
Ancient Tomb,Kozilek's Command,Painter,1
Ancient Tomb,Kozilek's Command,Lands,1
Ancient Tomb,Kozilek's Command,Cloudpost,0.9711749008703954
Kozilek's Command,Voltaic Key,Mystic Forge Combo,1
Kozilek's Command,Voltaic Key,Painter,0.9711749008703954
Kozilek's Command,Urza's Saga,Mystic Forge Combo,1
Kozilek's Command,Urza's Saga,Painter,1
Kozilek's Command,Urza's Saga,Lands,1
Kozilek's Command,Urza's Saga,Cloudpost,0.9711749008703954
Kozilek's Command,Mox Opal,Painter,0.8072675274936902
Kozilek's Command,Mox Opal,Mystic Forge Combo,0.8008359810958686
Kozilek's Command,Mystic Forge,Mystic Forge Combo,1
Kozilek's Command,Urza's Tower,Mystic Forge Combo,1
Kozilek's Command,Urza's Tower,Green Cloudpost,1
Kozilek's Command,Urza's Tower,Painter,1
Kozilek's Command,Lotus Petal,Mystic Forge Combo,1
Kozilek's Command,Lotus Petal,Eldrazi,1
Kozilek's Command,Lotus Petal,Painter,1
Kozilek's Command,Manifold Key,Mystic Forge Combo,1
Kozilek's Command,Manifold Key,Painter,1
Basalt Monolith,Pithing Needle,Painter,0.528833223536164
Basalt Monolith,Pithing Needle,Mystic Forge Combo,0.41678821202188404
Basalt Monolith,"Boseiju, Who Endures",Mystic Forge Combo,0.8396920351126752
Basalt Monolith,Glaring Fleshraker,Mystic Forge Combo,0.8736142069228404
Basalt Monolith,The One Ring,Painter,0.9711749008703954
Basalt Monolith,The One Ring,Mystic Forge Combo,0.8736142069228404
Basalt Monolith,Planar Nexus,Painter,0.9711749008703954
Basalt Monolith,Planar Nexus,Mystic Forge Combo,0.8736142069228404
Basalt Monolith,Vexing Bauble,Mystic Forge Combo,0.8751316702261079
Ancient Tomb,Basalt Monolith,Painter,0.9711749008703954
Ancient Tomb,Basalt Monolith,Mystic Forge Combo,0.8736142069228404
Basalt Monolith,Voltaic Key,Painter,0.6927405969128703
Basalt Monolith,Voltaic Key,Mystic Forge Combo,0.6887082743885613
Basalt Monolith,Urza's Saga,Painter,0.9711749008703954
Basalt Monolith,Urza's Saga,Mystic Forge Combo,0.7926735030087164
Basalt Monolith,Mox Opal,Painter,0.528833223536164
Basalt Monolith,Mox Opal,Mystic Forge Combo,0.42893468986834704
Basalt Monolith,Mystic Forge,Mystic Forge Combo,0.6927851415464297
Basalt Monolith,Urza's Tower,Painter,0.9711749008703954
Basalt Monolith,Urza's Tower,Mystic Forge Combo,0.8736142069228404
Basalt Monolith,Lotus Petal,Painter,0.9711749008703954
Basalt Monolith,Lotus Petal,Mystic Forge Combo,0.8699537290194828
Basalt Monolith,Manifold Key,Painter,0.9711749008703954
Basalt Monolith,Manifold Key,Mystic Forge Combo,0.8736142069228404
"Boseiju, Who Endures",Pithing Needle,Mystic Forge Combo,0.67578466173597
"Boseiju, Who Endures",Pithing Needle,Depths,0.6037880791216701
"Boseiju, Who Endures",Pithing Needle,Lands,0.5275335495729886
Glaring Fleshraker,Pithing Needle,Mystic Forge Combo,0.8070228622756754
Pithing Needle,The One Ring,Painter,0.8072675274936902
Pithing Needle,The One Ring,Mystic Forge Combo,0.8070228622756754
Pithing Needle,The One Ring,Lands,0.8040181843608065
Pithing Needle,The One Ring,Cloudpost,0.67578466173597
Pithing Needle,Planar Nexus,Cloudpost,0.8072675274936902
Pithing Needle,Planar Nexus,Painter,0.8072675274936902
Pithing Needle,Planar Nexus,Mystic Forge Combo,0.8070228622756754
Pithing Needle,Vexing Bauble,Mystic Forge Combo,0.8072675274936902
Pithing Needle,Vexing Bauble,Depths,0.36492585015945816
Pithing Needle,Vexing Bauble,Lands,0.36492585015945816
Ancient Tomb,Pithing Needle,Depths,1
Ancient Tomb,Pithing Needle,Simulacrum Affinity,0.8072675274936902
Ancient Tomb,Pithing Needle,8-Cast,0.8072675274936902
Ancient Tomb,Pithing Needle,Cloudpost,0.8072675274936902
Ancient Tomb,Pithing Needle,Mystic Forge Combo,0.8070228622756754
Ancient Tomb,Pithing Needle,Painter,0.7650171379733359
Ancient Tomb,Pithing Needle,Lands,0.4898273390301261
Pithing Needle,Voltaic Key,Mystic Forge Combo,0.6327510152547859
Pithing Needle,Voltaic Key,Painter,0.528833223536164
Pithing Needle,Urza's Saga,Depths,0.8427130426427246
Pithing Needle,Urza's Saga,Painter,0.8072675274936902
Pithing Needle,Urza's Saga,Simulacrum Affinity,0.8072675274936902
Pithing Needle,Urza's Saga,8-Cast,0.8072675274936902
Pithing Needle,Urza's Saga,Cloudpost,0.8072675274936902
Pithing Needle,Urza's Saga,Standstill,0.8072675274936902
Pithing Needle,Urza's Saga,Lands,0.7964673293265883
Pithing Needle,Urza's Saga,Mystic Forge Combo,0.7209976579677675
Mox Opal,Pithing Needle,8-Cast,0.8072675274936902
Mox Opal,Pithing Needle,Simulacrum Affinity,0.7433380550962837
Mox Opal,Pithing Needle,Painter,0.36492585015945816
